5S-Rrna-A1	5SDna-A1
Glu-V1-1	
Glu-V1-1a	
Glu-V1-1b	
Glu-V1-1c	
Glu-V1-1d	
Glu-V1-1e	
Glu-V1-1f	
Glu-V1-1g	
Glu-V1-1h	
Glu-V1-1i	
Glu-V1-1j	
Glu-V1-1k	
Glu-V1-1l	
Glu-V1-1m	
Glu-V1-1n	
Glu-V1-2	
Glu-V1-2a	
Glu-V1-2b	
Glu-V1-2c	
Glu-V1-2d	
Glu-V1a	
Glu-V1b	
Glu-V1c	
Glu-V1d	
Glu-V1e	
Glu-V1f	
Glu-V1g	
Glu-V1h	
Glu-V1i	
Glu-V1j	
Glu-V1k	
Glu-V1l	
Glu-V1m	
Glu-V1n	
Got-A1	
Got-A2	
Got-A3	
Got-Age2	
Got-Age3	
Got-B1	
Got-B2	
Got-B3	
Got-C3	
Got-D1	
Got-D2	
Got-D3	
Got-E2	
Got-E3	
Got-H2	
Got-H3	Got-b3
Got-Hch3	
Got-Ht2	
Got-R2	Got3
Got-R3	Got3
Got-R4	Got1/7R,Got2
Got-Ss3	
Got-V2	
Got-V3	
Gpc-B1a	QGpc.ndsu-6Ba
Gpc-B1b	QGpc.ndsu-6Bb,Gpc-6B1,NAM-B1
Gpi-A1	
Gpi-Agi1	Gpi-X1
Gpi-B1	
Gpi-D1	
Gpi-D1a	
Gpi-D1b	
Gpi-E1	
Gpi-H1	
Gpi-Hch1	
Gpi-R1	
Gpi-Rm1	
Gpi-Sl1	
Gpi-Ss1	
Gpi-U1	
Gpi-V1	
Gpt-A1	
Gpt-B1	
Gpt-D1	
Gpt-E1	
Gpt-H1	
Gsp-1	
Gsp-A1	GSP
Gsp-B1	GSP
Gsp-D1	GSP
Gsp-D1a	
Gsp-D1b	
Gsp-D1c	
Gsp-D1d	
Gsp-D1e	
Gsp-D1f	
Gsp-D1g	
Gsp-D1h	
Gsp-D1i	
Gsp-D1j	
H1	
H10	
H11	
H12	
H13	
H14	
H15	
H16	
H17	
H18	
H19	
H2	
H20	
H21	
H22	
H23	
H24	
H25	
H26	
H27	
H28	
H29	H27
H3	
H30	
H31	
H32	
H33	
H34	Qhf.hwwg-6B
H4	h4
H5	
H6	
H7 & H8	
H9	
HWGRC4	
HNC09MDD14	Hf-NC09MDD14
HR61	
Ha	
Hd	
Hdic	
Hg	
Hg1	
Hk-A2	
Hk-A2a	
Hk-A2b	
Hk-B1	
Hk-B2	
Hk-D1	
Hk-D2	
Hk-D2a	
Hk-D2b	
Hk-E2	
Hl1	Hl
Hl2	
Hn	
Hp	
Hs	Hls
HstH1-A1	
HstH1-A2	
HstH1-A2a	
HstH1-A2b	
HstH1-B1	
HstH1-B2	
HstH1-B2a	
HstH1-B2b	
HstH1-D1	
HstH1-D1a	
HstH1-D1b	
HstH1-D2	
Hyd-A1	
Hyd-A2	
Hyd-B1	
Hyd-B2	
Hyd-D1	
Hyd-D2	
Ibf-A1	
Ibf-A1a	
Ibf-A1b	
Ibf-A1c	
Ibf-A1d	
Ibf-A1e	
Ibf-Agi1	
Ibf-B1	
Ibf-B1a	
Ibf-B1b	
Ibf-B1c	
Ibf-B1d	
Ibf-D1	
Ibf-D1a	
Ibf-D1b	
Ibf-D1c	
Ibf-D1d	
Ibf-E1	
Ibf-H1	
Ibf-R1	
Ibf-Sl1	
Ibf-U1	
Igc1	
Iha-B1.1	
Iha-B1.2	
Iha-B1.2a	
Iha-B1.2b	
Iha-D1	
Imi1	AhasL-D1,Fs-4
Imi2	AhasL-B1
Imi3	AhasL-A1
Isa-A1	
Isa-A1a	
Isa-A1b	
Isa-B1	
Isa-B1a	
Isa-B1b	
Isa-D1	
Iso-1	ISA-1
Iw1	W1I,I1-W
Iw2	I2-W,Iw3672
Iw3	IW3,I3-W
Kb1	
Kb2	
Kb3	
Kb4	
Kb5	
Kb6	
Ki	
Kna1	
Kr1	
Kr1 Kr2	
Kr1 Kr2/Kr1 kr2	
Kr1 kr2	
Lec-A1	
Lec-B1	
Lec-D1	
Lec-U1	
Lpx-A1	Lpx-B1
Lpx-A2	
Lpx-A3	
Lpx-B1	Lpx-A1
Lpx-B1.1	
Lpx-B1.1a	
Lpx-B1.1b	
Lpx-B1.2	
Lpx-B1a	Lpx-A1a
Lpx-B1b	Lpx-A1b
Lpx-B2	
Lpx-B3	
Lpx-D1	
Lpx-D2	
Lpx-E1	
Lpx-E2	
Lpx-H1	
Lpx-H2	
Lpx-Ss2	
Lpx-V2	
Lr1	
Lr10	LrL
Lr11	LrBP2
Lr12	
Lr13	
Lr14	
Lr14a	LrLla
Lr14ab	
Lr14b	
Lr15	
Lr16	LrE
Lr17	Lr17a
Lr17a	Lr17
Lr17b	LrH,WBR2
Lr18	
Lr19	
Lr2	
Lr20	
Lr21	Lr40
Lr22	
Lr22a	
Lr22b	
Lr23	LrG
Lr24	LrAg
Lr25	
Lr26	
Lr27	LrGt,A
Lr28	
Lr29	
Lr2a	Lr2
Lr2b	Lr22
Lr2c	Lr23
Lr3	
Lr30	LrT
Lr31	B
Lr32	
Lr33	
Lr34	LrT2
Lr35	
Lr36	
Lr37	
Lr38	
Lr39	
Lr3a	Lr3
Lr3b	Lr3bg
Lr3c	Lr3ka
Lr3d	
Lr4, Lr5, Lr6, Lr7, Lr8	
Lr40	
Lr41	
Lr42	
Lr43	
Lr44	
Lr45	
Lr46	
Lr47	
Lr48	
Lr49	
Lr50	
Lr51	
Lr52	LrW
Lr53	LrS8
Lr54	
Lr55	
Lr56	LrS12
Lr57	
Lr58	
Lr59	
Lr60	LrW2
Lr61	
Lr62	
Lr63	
Lr64	
Lr64i#2	6Ai#2
Lr65	LrAlt
Lr66	
Lr67	
Lr68	
Lr69	
Lr70	
Lr71	LrAK12c
Lr72	
Lr73	
Lr74	
Lr75	Qlr.sfr-1BS
Lr76	LrUmb
Lr77	
Lr9	
LrBi16	
LrFun	
LrGam6	
LrK1	
LrKr1	
LrKr2	
LrMq1	
LrNJ97	
LrSV1	
LrSV2	
LrTb	
LrTm	
LrTr	
LrTt1	lrTt1
LrVPM	
LrW2	
LrWo	
LrZH84	
Ltn	
Ltn1	Ltn
Ltn2	
Ltn3	
Lute	
Lute	
Lvl1	Lvl 1
MLNCD1	
Mal-A1	
Mal-B1	
Mal-B1a	
Mal-B1b	
Mal-B1c	
Mal-D1	
Mal-E1	
Mal-H1	
Mal-R1	
Mdh-A1	Mdh2A
Mdh-A3	
Mdh-A3a	
Mdh-A3b	
Mdh-B1	Mdh2B
Mdh-B3	
Mdh-B3a	
Mdh-B3b	
Mdh-D1	Mdh2D
Mdh-D3	
Mdh-D3a	
Mdh-D3b	
Mdh-E3	
Mdh-H1	
Mdh-H2	Mdh2-b2
Mdh-H3	
Mdh-Hch1	
Mdh-R1	Mdh2-1
Mdh-R2	Mdh2-2
Mdh-R4	
Mdh-Ss1	
Mdh-U3	
Mg5	
Ml-Ad	
Ml-Br	
Ml-Ga	
Ml3D32	
MlAB10	
MlIW172	
MlIw170	
MlIw72	
MlTd1055	
Mld	
Mlm2033	
Mlm80	
Mlre	
Mlxbd	
Mlzec1	MLZec
Ms1376	
Msg	
Nax1	
Nax2	
Ndh-A1	Ndh-B1
Ndh-A1a	Ndh-B1a
Ndh-A1b	Ndh-B1b
Ndh-A1c	Ndh-B1c
Ndh-A1d	Ndh-A1b
Ndh-A2	
Ndh-A3	
Ndh-A4	
Ndh-B1	Ndh-A1
Ndh-B3	
Ndh-B3a	
Ndh-B3b	
Ndh-B4	
Ndh-D1	
Ndh-D2	
Ndh-D3	
Ndh-E1	
Ndh-E4	
Ndh-H1	Nadhd-1
Ndh-H3	
Ndh-H4	
Ndh-Hch1	
Ndh-R1	
Ndh-R2	
Ndh-R3	
Ndh-R4	
Ndh-S11	
Ndh-Sl3	
Ndh-U1	
Ndh-V1	
Ne1	Le,F,Le1
Ne1m	
Ne1s	
Ne1w	
Ne2	Le2,F
Ne2m	
Ne2m?	
Ne2ms	
Ne2s	
Ne2w	
Nec1	
Ner1	
Ner2	
Nor-A1	
Nor-A10	Nor-A3
Nor-A3	
Nor-A7	
Nor-A9	Nor-A1
Nor-Agi1	
Nor-Agi3	
Nor-B1	Nor1
Nor-B1a	
Nor-B1a-	
Nor-B1b	
Nor-B1c	
Nor-B1c-	
Nor-B1d	
Nor-B2	Nor2
Nor-B2a	
Nor-B2a-	
Nor-B2b	
Nor-B2c	
Nor-B2d	
Nor-B2d-	
Nor-B2e	
Nor-B2f	
Nor-B2g	
Nor-B2h	
Nor-B2i	
Nor-B6	
Nor-D3	
Nor-D4	
Nor-D8	
Nor-E2	
Nor-E3	
Nor-G2	
Nor-H1	Nor-I1
Nor-H2	Rnr1
Nor-H3	Rnr2
Nor-H4	Nor-I4
Nor-H5	Nor-I5
Nor-R1	
Nor-S1	
Nor-S2	
Nor-U1	
Nor-U3	
Nor-V1	
Nor1a and Nor2a	
Nor1b and Nor2b	
Nor1c and Nor2c	
Nra	
Or	
P1	P,Eg,P-Apol1,P-Apet1
P2	
Pa	
Pan1	
Pan2	
Pbc	
Pc/Pls/Plb	
Pc/Pls/Plb	
Pc1	Pc
Pc2	
Pch1	Pch
Pch2	
Pch3	
PchDv	
Pde-A1	Pde-A3
Pde-B1	Pde-B3
Pde-D1	Pde-D3
Pde-Sl1	
Pde-V1	
Pdi-A1	
Pdi-B1	
Pdi-D1	
Per-A2	
Per-A2a	
Per-A2b	
Per-A3	
Per-A3a	
Per-A3b	
Per-A3c	
Per-A4	Per3
Per-A4a	
Per-A4b	
Per-A4c	
Per-Age4	
Per-Agi4	Per-Agi3
Per-B1	
Per-B2	
Per-B2a	
Per-B2b	
Per-B3	Per4
Per-B3a	
Per-B3b	
Per-B3c	
Per-B3d	
Per-B3e	
Per-B4	Per2
Per-B4a	
Per-B4b	
Per-B4c	
Per-D1	
Per-D1a	
Per-D1b	
Per-D2	
Per-D3	Per5
Per-D3a	
Per-D3b	
Per-D3c	
Per-D3d	
Per-D3e	
Per-D3f	
Per-D3g	
Per-D4	Per1
Per-D4a	
Per-D4b	
Per-D5	
Per-H2	Per-5
Per-Hch1	
Per-R1	Prx
Per-R2	
Per-Sl5	
Per-V1	
Pg	
Pgd1	Pgd3,Pgd-A3
PgdR1	
PgdR2	
Pgip-A1	
Pgip-B1	Tapgip1
Pgip-B1a	
Pgip-B1b	
Pgip-D1	Tapgip2
Pgip1	
Pgip2	
Pgm-A1	Pgm-B1
Pgm-Agi1	Pgm-X1
Pgm-D1	
Pgm-H1	Pgm-b1
Pgm-Hch1	
Pgm-R1	
Ph1	
Ph1I	
Ph2	
Phs1	Phs
Pina-A1	
Pina-Am1	
Pina-D1	
Pina-D1a	
Pina-D1b	
Pina-D1c	
Pina-D1d	
Pina-D1e	
Pina-D1f	
Pina-D1g	
Pina-D1h	
Pina-D1i	
Pina-D1j	
Pina-D1k	homonym:Pina-D1b/Pinb-D1h(t)
Pina-D1l	Pina-D1c
Pina-D1m	
Pina-D1n	
Pina-D1o	
Pina-D1p	
Pina-D1q	
Pina-S1	
Pina-Sb1	
Pina-Sl1	
Pina-Ss1	
Pina-Ssh1	
Pinb-A1	
Pinb-Am1	
Pinb-D1	
Pinb-D1a	
Pinb-D1aa	
Pinb-D1ab	
Pinb-D1ac	
Pinb-D1b	
Pinb-D1c	
Pinb-D1d	
Pinb-D1e	
Pinb-D1f	
Pinb-D1g	
Pinb-D1h	
Pinb-D1i	
Pinb-D1j	
Pinb-D1k	
Pinb-D1l	
Pinb-D1m	
Pinb-D1n	
Pinb-D1o	
Pinb-D1p	Pinb-D1z
Pinb-D1q	
Pinb-D1r	Pinb-D1h
Pinb-D1s	
Pinb-D1t	
Pinb-D1u	
Pinb-D1v	Pinb-D1i(t),Pinb-D1r
Pinb-D1w	Pinb-D1q
Pinb-D1x	
Pinb-D1y	
Pinb-D1z	
Pinb-S1	
Pinb-Sb1	
Pinb-Sl1	
Pinb-Ss1	
Pinb-Ssh1	
Pis1	
Plb	
Pln	P-L
Pm1	
Pm10	
Pm11	
Pm12	
Pm13	
Pm14	
Pm15	
Pm16	
Pm17	
Pm18	
Pm19	
Pm1a	Pm1,Mlt,Mla
Pm1b	
Pm1c	Pm18
Pm1d	
Pm1e	Pm22
Pm2	Mlu,Mlx
Pm20	M1P6L
Pm2026	
Pm21	
Pm22	
Pm24	
Pm24a	Pm24
Pm24b	
Pm25	PmTmb
Pm26	
Pm27	
Pm28	
Pm29	
Pm2a	Pm2,Mlu,Mlx
Pm2b	PmKM2939,PmPB3558
Pm2c	PmNM
Pm3	
Pm30	
Pm31	mlG
Pm32	
Pm33	PmPS5B
Pm34	
Pm35	
Pm36	
Pm37	
Pm38	
Pm39	
Pm3a	Mla
Pm3b	Mlc,Pm3j
Pm3c	Mls,Pm3i
Pm3d	Ml-k,Mlk,Pm3h
Pm3e	
Pm3f	
Pm3g	Mlar
Pm4	
Pm40	
Pm41	
Pm42	
Pm43	
Pm44	
Pm45	Pm57-6D
Pm46	
Pm47	PmHYLZ
Pm48	Pm46
Pm49	Ml5323
Pm4a	Pm4
Pm4b	Mle
Pm4c	
Pm4d	
Pm5	
Pm50	
Pm51	PmCH86
Pm52	MlLX90
Pm53	PmNC-S16
Pm54	PmA2K
Pm55	Pm5VS
Pm56	
Pm57	
Pm58	PmTA1662
Pm5a	Pm5,mlH
Pm5b	Mli
Pm5c	
Pm5d	
Pm5e	mlfz
Pm6	Mlf
Pm7	
Pm8	
Pm9	
PmAS846	
PmCn17	
PmG16	
PmHNK	
PmHNK54	
PmHo	
PmLK906	
PmLX66	
PmPs5A	
PmSE5785	
PmTb7A.1	
PmTb7A.2	
PmTm4	
PmW14	
PmWE99	
PmY39	
PmYm66	
Pmx	
Pp1	
Pp2	
Pp3	
Pp3a	
Pp3b	Pp2
Ppd-A1	Ppd3
Ppd-A1a	
Ppd-A1b	
Ppd-A1b Ppd-B1b Ppd-D1b	
Ppd-B1	
Ppd-B1a	Ppd2
Ppd-B1b	
Ppd-B2	
Ppd-D1	
Ppd-D1a	Ppd1
Ppo-A1	
Ppo-A1a	
Ppo-A1b	
Ppo-A1c	
Ppo-A1d	
Ppo-A1e	
Ppo-A1f	
Ppo-A1g	
Ppo-A1h	
Ppo-A2	PPO-A2
Ppo-A2a	
Ppo-A2b	
Ppo-A2c	
Ppo-B1	
Ppo-B1a	
Ppo-B2	PPO-B2
Ppo-B2a	
Ppo-B2b	
Ppo-B2c	
Ppo-D1	
Ppo-D1a	
Ppo-D1b	
Ppo-D1c	
Ppo-D1d	
Ppo-D1e	Ppo-D1null,Ppo-D1c
Ppo-D2	PPO-D2
Ppo-D2a	
Ppo-D2b	
Pro1	
Pro2	
Psy1-A1	
Psy1-A1a	
Psy1-A1b	
Psy1-A1c	
Psy1-A1d	
Psy1-A1e	
Psy1-A1f	
Psy1-A1g	
Psy1-A1h	
Psy1-A1i	
Psy1-A1j	
Psy1-A1k	
Psy1-A1l	
Psy1-A1m	
Psy1-A1n	
Psy1-A1o	
Psy1-A1p	
Psy1-A1q	
Psy1-A1r	
Psy1-A1s	
Psy1-A1t	
Psy1-B1	
Psy1-B1a	
Psy1-B1b	
Psy1-B1c	
Psy1-B1d	
Psy1-B1e	
Psy1-B1f	
Psy1-B1g	
Psy1-B1h	
Psy1-B1i	
Psy1-B1j	
Psy1-B1k	
Psy1-B1l	
Psy1-B1m	
Psy1-B1n	
Psy1-B1o	
Psy1-D1	
Psy1-D1a	
Psy1-D1b	
Psy1-D1c	
Psy1-D1d	
Psy1-D1e	
Psy1-D1f	
Psy1-D1g	
Psy1-D1h	
Psy1-D1i	
Psy1-D1j	
Psy1-D1k	
Psy1-D1l	
Psy1-D1m	
Psy1-E1	Psy-E1
Psy1-E1a	Psy-E1a
Psy1-E1b	Psy-E1b
Psy1-S1	
Psy1-S1a	
Psy1-S1b	
Psy1-S1c	
Psy2-A1	
Psy2-B1	
Pur-A1	
Pur-B1	
Pur-D1	
Pur-R1	
Q	k
QAmc.ocs-4A.1	
QCre.pau-1A	
QCre.pau-2A	
QEet.inra-2B	
QEet.inra-2D	
QEet.inra-7D	
QEet.ipk-2D	
QEet.ipk-5D	
QEet.ocs-4A.1	
QEet.ocs-5A.1	
QEet.ocs-5A.2	
QEl.ipk-1B	
QEl.ipk-4A	
QEl.ipk-5A	
QEl.ocs-5A.1	
QFgw.ocs-4A.1	
QFhs.inra-2A	
QFhs.inra-2B	
QFhs.inra-3A	
QFhs.inra-3B	
QFhs.inra-5A.1	
QFhs.inra-5A.2	
QFhs.inra-5A.3	
QFhs.inra-5D	
QFhs.inra-6D	
QFhs.ndsu-2A	
QFhs.ndsu-3AS	
QFhs.ndsu-3B	
QFhs.pur-2D	
QFhs.pur-7El	
QFlt.ipk-3A	
QFt.cri-3B.1	
QFt.mgb-5A	
QFt.mgb-6A	
QGnu.ipk-4A	
QGpc.ccsu-2B.1	
QGpc.ccsu-2D.1	
QGpc.ccsu-3D.1	
QGpc.ccsu-3D.2	
QGpc.ccsu-7A.1	
QGpc.ipk.7B	
QGpc.ndsu-5B.1	
QGpc.ndsu-5B.2	
QGpc.ndsu-5B.3	
QGpc.ndsu-6B	
QGpc.ndsu-6Ba	
QGpc.ndsu-6Bb	
QGpp.kvl-2A	
QGpp.kvl-2B.1	
QGpp.kvl-2B.2	
QGvwt.unl-3A.1	
QGw1.ccsu-1A	
QGw1.inra-2B	
QGw1.inra-5B	
QGw1.inra-7A	
QGwe.ipk-2D	
QGwe.ipk-4A	
QGwe.ocs-4A.1	
QGwt.crc-3D	
QGwt.crc-4A	
QGwt.crc-6D	
QGyld.unl-3A.1	
QGyld.unl-3A.2	
QHt.crc-2D	
QHt.crc-4B	
QHt.crc-4D	
QHt.crc-5B	
QHt.crc-7A	
QHt.crc-7B	
QHt.fcu-4BL	
QHt.fcu-6AS	
QHt.fra-1A	
QHt.fra-1B	
QHt.fra-4B	
QHt.fra-7A	
QHt.fra-7B	
QHt.inra-2B	
QHt.inra-4A	
QHt.inra-5A	
QHt.inra-6D	
QHt.inra-7A	
QHt.ipk-4A	
QHt.ipk-6A	
QHt.ocs-4A.1	
QHt.ocs-4A.2	
QHt.ocs-5A.1	Qt.ocs-5A.1
QHt.riso-3A	
QKps.unl-3A.1	
QKpsm.unl-3A.1	
QKpsm.unl-3A.2	
QLd.crc-3D	
QLd.sfr-1B	
QLd.sfr-2A	
QLd.sfr-2D	
QLd.sfr-3A	
QLd.sfr-4A	
QLd.sfr-5A	
QLd.sfr-5B	
QLd.sfr-6B	
QLd.sfr-7B	
QLer.ipk-2A	
QLr.pser.1BL	
QLr.sfr-1B	
QLr.sfr-2B	
QLr.sfr-3A	
QLr.sfr-4B	
QLr.sfr-4D	
QLr.sfr-5D	
QLr.sfr-7B.1	
QLr.sfr-7B.2	
QLtn.sfr-1B	
QLtn.sfr-3A	
QLtn.sfr-4B.1	
QLtn.sfr-4B.2	
QLtn.sfr-4D	
QLtn.sfr-5A	
QLtn.sfr-6A	
QLtn.sfr-7B.1	
QLtn.sfr-7B.2	
QLtn.sfr-7D	
QMat.crc-3B	
QMat.crc-4A	
QMat.crc-7D	
QPch.jic-5A	
QPm-tut-4A	
QPm.ipk-2B	
QPm.ipk-4B	
QPm.ipk-7D	
QPm.sfr-1A	
QPm.sfr-1B	
QPm.sfr-1D	
QPm.sfr-2A	
QPm.sfr-2D	
QPm.sfr-3A	
QPm.sfr-3D	
QPm.sfr-4A.1	
QPm.sfr-4A.2	
QPm.sfr-4B	
QPm.sfr-4D	
QPm.sfr-5A.1	
QPm.sfr-5A.2	
QPm.sfr-5B	
QPm.sfr-6B	
QPm.sfr-7B.1	
QPm.sfr-7B.2	
QPro.inra-2A	
QPro.inra-3A	
QPro.inra-4D	
QPro.inra-7D	
QPro.mgb-4B	
QPro.mgb-5A	
QPro.mgb-6A.1	
QPro.mgb-6A.2	
QPro.mgb-6B	
QPro.mgb-7B	
QRaw.ipk-1A	
QRaw.ipk-1D	
QRg.ipk-1D	
QSd.ksu-1D	
QSd.ksu-3D	
QSd.ksu-4D	
QSd.ksu-5D.1	
QSd.ksu-5D.2	
QSd.ksu-5D.3	
QSd.ksu-7D	
QSn.sdau-BL	
QSnn.niab-5A.1	
QSpn.ocs-4A.1	
QTgw.ipk-5A	
QTkwt.unl-3A.1	
QTn.ocs-4A.1	
QTsc.ndsu-1A	Tsc1
QTsc.ndsu-4A	
QTwt.crc-1B	
QTwt.crc-1D	
QTwt.crc-2D	
QTwt.crc-3B	
QTwt.crc-3D	
QTwt.crc-5D	
QWin.ipk-6A	
QYld.crc-2A	
QYld.crc-2B	
QYld.crc-4A	
QYld.inra-7D	
QYld.ndsu-5B	QGy.ndsu-5B
QYld.ocs-4A.1	
QYm.nau-2D	
Qfhs.crc-2BL	
Qfhs.crc-6BS	
Qfhs.fcu-7AL	
Qfhs.ifa-5A	
Qfhs.ndsu-3AS	
Qkb.cnl-3B	
Qkb.cnl-5A.1	
Qkb.cnl-5A.2	
Qkb.ksu-4BL.1	
Qkb.ksu-5BL.1	
Qkb.ksu-6BS.1	
Qkps.unl-3A.2	
Qpro.mgb-7A	
Qsev.mgb-6A	
Qsev.mgb-7A	
Qsf.spa-3B	
Qsf.spa-3B	
Qsst.msub-3BL	
Qsst.msub-3DL	Qss.msub-3DL
Qtcr.ipk-2B.1	Tcr-B1
Qtcr.ipk-2B.2	Tcr-B2
Qtcr:ipk-2B.3	Tcr-B3
R-A1	R2
R-A1a	
R-A1a R-B1b R-D1b	R3,R1
R-A1b	R2
R-A1b R-B1a R-D1b	R2,R1
R-A1b R-B1b R-D1a	R2,R3
R-A1b R-B1b R-D1b	R1,R2,R3
R-B1	R3
R-B1a	
R-B1b	R3
R-D1	R1
R-D1a	
R-D1b	R1
R-N1	
R-R1	
R-V1	
Ra1	Ra
Ra2	
Ra3	
Rc-A1	Rc
Rc-A1a	Rc1, R
Rc-B1	
Rc-B1a	Rc2, R2
Rc-D1	
Rc-D1a	Rc3
Rcc1	
Rf1	
Rf2	
Rf3	
Rf4	Rf2
Rf5	Rf3
Rf6	
Rfd1	
Rg-A1	Rg3
Rg-A1a	
Rg-A1b	Rg3
Rg-A1c	Bg,Bg(a)
Rg-A1d	Bg(b)
Rg-B1	Rg1,Rg
Rg-B1a	
Rg-B1b	Rg1
Rg-D1	Rg2
Rg-D1a	
Rg-D1b	Rg2
Rg-D1c	Brg
Rg3	
Rht-1	
Rht-A1a	
Rht-B1	
Rht-B1IC2196	
Rht-B1a	
Rht-B1b	Rht1,Sd1
Rht-B1c	Rht3,Sd3
Rht-B1d	Rht1S
Rht-B1e	RhtKrasnodari1,Rht1(B-dw)
Rht-B1f	RhtT. aethiopicum
Rht-B1g	
Rht-D1	
Rht-D1a	
Rht-D1b	Rht2,Sd2
Rht-D1c	Rht10
Rht-D1d	RhtAi-bian 1a
Rht11	
Rht12	
Rht13	
Rht14	
Rht15	
Rht16	
Rht17	
Rht18	
Rht19	
Rht20	
Rht21	
Rht22	
Rht23	
Rht24	QPH.caas-6A,QTL_height_6A_1
Rht4	
Rht5	
Rht6	
Rht7	
Rht8	
Rht8a	
Rht8b	
Rht8c	
Rht8d	
Rht8e	
Rht8f	
Rht8g	
Rht8h	
Rht9	
Rkn1	Rkn
Rkn2	Rkn-mn1
Rkn3	
Rlnn1	
Rmg1	Rwt4
Rmg2	
Rmg3	
Rmg4	
Rmg6	
Rmg7	
Rmg8	
RmgTd(t)	
Rot1	
S-A1	
S-A1a	
S-A1b	S3
S-B1	
S-B1a	
S-B1b	S2,s16219
S-D1	
S-D1a	
S-D1b	s1, sp1
S-D1c	S1
SBWMV	
Sa1	RA-1
Sb1	
SbeI1	
SbeI2	
SbeII	
Sbm1	SbmCz1
SbmTmr1	
Sd1	
Sd2	
Sgp-A1	
Sgp-A1a	
Sgp-A1b	
Sgp-A1c	
Sgp-A2	
Sgp-A3	
Sgp-A3a	
Sgp-A3b	
Sgp-B1	
Sgp-B1a	
Sgp-B1b	
Sgp-B1c	
Sgp-B1d	
Sgp-B2	
Sgp-B3	
Sgp-B3a	
Sgp-B3b	
Sgp-B3c	
Sgp-D1	
Sgp-D1a	
Sgp-D1b	
Sgp-D2	
Sgp-D3	
Shw	1HL
Si-B2	
Si-D2	
Si-H1	Isa 1
Si-H2	Ica 1,Ica 2
Si-R1	
Si-R2	
Si-Sl2	
Si-U2	
Skdh-A1	
Skdh-B1	
Skdh-D1	
Skdh-H1	
Skdh-Ht1	
Skdh-Mv1	Skdh-Mv1
Skdh-R1	
Skdh-Sl1	
Skdh-Ss1	
Skdh-U1	
Skdh-V1	
Sm1	
Snb1	
Snb2	
Snb3	
SnbTM	
Snn1	
Snn2	
Snn3	
Snn4	
Snn5	
Sod-A1	
Sod-B1	
Sod-D1	
Sod-E1	
Sod-H1	
Sod-R1	Sod-3
Sod-Ss1	
Sod-VI	
Sog	
Spa-A1	
Spa-B1	
Spa-B1a	
Spa-B1b	
Spa-D1	
Sr1	
Sr10	
Sr10171	
Sr10187	SrTA10187
Sr11	Sr11,Sr12
Sr12	
Sr13	
Sr14	
Sr15	
Sr16	Srrl2
Sr17	sr17
Sr18	SrG2,Srrl1,Srmq1,SrPs1,SrMn1
Sr19	Srmq2
Sr1RSAmigo	
Sr2	
Sr20	Srmq3,Srrl3
Sr21	
Sr22	
Sr23	
Sr24	
Sr25	
Sr26	
Sr27	
Sr28	
Sr29	SrEC
Sr3 & Sr4	
Sr30	SrW
Sr31	
Sr32	
Sr33	SrSQ
Sr34	
Sr35	SrTm1
Sr36	SrTt1
Sr37	SrTt2
Sr38	
Sr39	
Sr40	
Sr41	
Sr42	
Sr43	
Sr44	
Sr45	SrX,SrD
Sr46	
Sr47	
Sr48	SrAn1
Sr49	
Sr5	
Sr50	SrR
Sr51	
Sr52	
Sr53	
Sr54	
Sr55	
Sr56	QSr.sun-5BL
Sr57	
Sr58	
Sr59	
Sr6	SrKa1
Sr7	
Sr7a	Sr7
Sr7b	
Sr8	
Sr8a	Sr8
Sr8b	SrBB
Sr9	
Sr9a	Sr9
Sr9b	Sr9,SrKb1
Sr9c	
Sr9d	Sr1
Sr9e	Srd1v,Srv
Sr9f	
Sr9g	
Sr9h	SrWeb
SrA	
SrAes7t	
SrCad	
SrND643	
SrPI410966	
SrTA1662	
SrTm4	
SrTmp	SrSha7
SrWld	
SrZdar	
Srp-A1	
Srp-B1	Srp5B
Srp-B1a	Srp5Ba
Srp-B1b	
Srp-D1	
SsI-A1	
SsI-B1	
SsI-D1	
SsII-A1	
SsII-B1	
SsII-D1	
Stb1	Slb1
Stb10	
Stb11	
Stb12	
Stb13	
Stb14	
Stb15	
Stb16	Stb16q
Stb17	
Stb18	
Stb2	Slb2
Stb3	Slb3
Stb4	
Stb5	
Stb6	
Stb7	
Stb8	
Stb9	
Su1	
SuLr23	
SuPm8	
TaCwi-A1	
TaGASR7-A1	
TaGS-D1	
TaGW-A2	
TaGW2-6A	
TaGs-D1a	
TaGs-D1b	
TaSAP1-A1	
TaSdr-A1	
TaSdr-B1	
TaSdr-B1a	
TaSdr-B1b	
TaTGW-7A	
TaTGW-7Aa	
TaTGW-7Ab	
TaTGW-A1a	
TaTGW-A1b	
TaTGW-B1	
TaTGW-D1	
TaTGW6-A1	
Tabas1-B1	
Tabas1-B1a	
Tabas1-B1b	
Tc1	
Tc2	
Tc3	Tc
Tg1	Tg
Tg2	
Ti-A2	
Ti-Agi2	
Ti-B2	
Ti-D2	
Ti-D2a	
Ti-D2b	
Ti-D2c	
Ti-H1	Itc 1
Ti-Mt2	
Ti-R1	
Ti-R2	
Ti-Sl2	
Ti-U2	
Tpi-A1	
Tpi-A2	
Tpi-Agi2	
Tpi-B1	
Tpi-B2	
Tpi-D1	
Tpi-D2	
Tpi-E1	
Tpi-H1	
