ID:0000116	/WIPO:Quality/WIPO:0010025/WIPO:0000083	/WIPO:Quality/Nitrogen nutrition index/NNI.Z65_%	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/response to nutrient deficiency/response to primary nutrient limitation/response to nitrogen limitation
ID:0000116	/WIPO:Quality/WIPO:0010025/WIPO:0000084	/WIPO:Quality/Nitrogen nutrition index/NNI.Z91_%	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/response to nutrient deficiency/response to primary nutrient limitation/response to nitrogen limitation
ID:0000117	/WIPO:Morphological/WIPO:0010002/WIPO:0000004	/WIPO:Morphological/Anther extrusion/AE_score	/FSOV Concept/plant property/development/anther extrusion
ID:0000133	/WIPO:Morphological/WIPO:0010054/WIPO:0000144	/WIPO:Morphological/Mean grain area/GRAIN-AREA_mm²	/FSOV Concept/plant property/morphology/grain morphology/grain size
ID:0000138	/WIPO:Quality/WIPO:0010080/WIPO:0000189	/WIPO:Quality/Total number of spikelets / spike/TSPS	/FSOV Concept/plant property/morphology/spikelet density
ID:0000140	/WIPO:Morphological/WIPO:0010102/WIPO:0000017	/WIPO:Morphological/Awnedness/AWN_B-NB	/FSOV Concept/plant property/morphology/awn/presence of awn/awnedness
ID:0000153	/WIPO:Biotic stress/WIPO:0010139/WIPO:0000251	/WIPO:Biotic stress/Susceptibility to cercosporella/pvp	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Eyespot
ID:0000153	/WIPO:Biotic stress/WIPO:0010139/WIPO:0000252	/WIPO:Biotic stress/Susceptibility to cercosporella/pva	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Eyespot
ID:0000182	/WIPO:Quality/WIPO:0010088/WIPO:0000216	/WIPO:Quality/Grain hardness/HA	/FSOV Concept/plant property/quality/grain quality/grain hardness/single-kernel hardness
ID:0000184	/WIPO:Quality/WIPO:0010059/WIPO:0000150	/WIPO:Quality/Plants per area/PPA.Z11_plants/m²	/FSOV Concept/environmental condition/plant density
ID:0000184	/WIPO:Quality/WIPO:0010059/WIPO:0000151	/WIPO:Quality/Plants per area/PPA.Z13_plants/m²	/FSOV Concept/environmental condition/plant density
ID:0000215	/WIPO:Abiotic stress/WIPO:0010024/WIPO:0000081	/WIPO:Abiotic stress/Hygrometry/AIR-HYGRO	/FSOV Concept/environmental condition/abiotic condition/water quantity/air humidity
ID:0000298	/WIPO:Quality/WIPO:0010071/WIPO:0000173	/WIPO:Quality/Grain specific weight/SW_kg/hl	/FSOV Concept/plant property/growth/crop yield/grain specific weight, /FSOV Concept/plant property/quality/grain quality/grain specific weight
ID:0000350	/WIPO:Quality/WIPO:0010015/WIPO:0000070	/WIPO:Quality/Grain protein concentration/GPC_%	/FSOV Concept/plant property/quality/grain composition/grain protein content/high grain protein content
ID:0000354	/WIPO:Quality/WIPO:0010074/WIPO:0000177	/WIPO:Quality/PMG(g)/TKW_g	/FSOV Concept/plant property/growth/crop yield/thousand kernel weight
ID:0000354	/WIPO:Quality/WIPO:0010074/WIPO:0000179	/WIPO:Quality/PMG(g) /TKW15_g	/FSOV Concept/plant property/growth/crop yield/thousand kernel weight
ID:0000355	/WIPO:Morphological/WIPO:0010125/WIPO:0000071	/WIPO:Morphological/Number of grains per spike/GPS	/FSOV Concept/plant property/growth/crop yield/grain number per ear
ID:0000356	/WIPO:Quality/WIPO:0010066/WIPO:0000163	/WIPO:Quality/Spikes per area /SA	/FSOV Concept/plant property/growth/crop yield/ear number per meter of row
ID:0000357	/WIPO:Quality/WIPO:0010044/WIPO:0000134	/WIPO:Quality/Tillers per area/NT.Z13	/FSOV Concept/plant property/growth/shoot density/shoot number per m2
ID:0000360	/WIPO:Quality/WIPO:0010107/WIPO:0000069	/WIPO:Quality/Number of grains per area/GPA	/FSOV Concept/plant property/growth/crop yield/number of grains per square meter
ID:0000363			/FSOV Concept/plant property/morphology/spike length
ID:0000363	/WIPO:Morphological/WIPO:0010022/WIPO:0000079	/WIPO:Morphological/Spike length/SPIKELENGTH.Z30_mm	/FSOV Concept/plant property/morphology/spike length
ID:0000364	/WIPO:Agronomical/WIPO:0010023/WIPO:0000080	/WIPO:Agronomical/Harvest index/HI	/FSOV Concept/plant property/growth/crop yield/harvest index
ID:0000365	/WIPO:Quality/WIPO:0010080/WIPO:0000189	/WIPO:Quality/Total number of spikelets / spike/TSPS	/FSOV Concept/plant property/morphology/spikelet density/spikelet number
ID:0000370	/WIPO:Phenological/WIPO:0010012/WIPO:0000035	/WIPO:Phenological/Ear emergence/D.Z55_jj/mm/aa	/FSOV Concept/plant property/development/ear emergence time
ID:0000370	/WIPO:Phenological/WIPO:0010012/WIPO:0000036	/WIPO:Phenological/Ear emergence/D.Z55_d	/FSOV Concept/plant property/development/ear emergence time
ID:0000370	/WIPO:Phenological/WIPO:0010012/WIPO:0000037	/WIPO:Phenological/Ear emergence/D.Z55_dd	/FSOV Concept/plant property/development/ear emergence time
ID:0000390	/WIPO:Morphological/WIPO:0010000/WIPO:0000001	/WIPO:Morphological/Leaf senescence/SEN-F1_%	/FSOV Concept/plant property/development/leaf senescence time/early leaf senescence/early flag leaf senescence
ID:0000390	/WIPO:Morphological/WIPO:0010000/WIPO:0000164	/WIPO:Morphological/Leaf senescence/SEN-F1.Z75_%	/FSOV Concept/plant property/development/leaf senescence time/early leaf senescence/early flag leaf senescence
ID:0000390	/WIPO:Morphological/WIPO:0010000/WIPO:0000165	/WIPO:Morphological/Leaf senescence/SEN-F1.Z80_%	/FSOV Concept/plant property/development/leaf senescence time/early leaf senescence/early flag leaf senescence
ID:0000391	/WIPO:Agronomical/WIPO:0010004/WIPO:0000054	/WIPO:Agronomical/Above-ground dry matter per area/AGDM.Z65_t/ha	/FSOV Concept/plant property/growth/above-ground dry matter quantity
ID:0000394	/WIPO:Quality/WIPO:0010015/WIPO:0000070	/WIPO:Quality/Grain protein concentration/GPC_%	/FSOV Concept/plant property/quality/grain composition/grain protein content
ID:0000397	/WIPO:Quality/WIPO:0010048/WIPO:0000138	/WIPO:Quality/Nitrogen use efficiency /NUE	/FSOV Concept/plant property/growth/nutrient use efficiency/macronutrient use efficiency/nitrogen use efficiency
ID:0000411 	/WIPO:Abiotic stress/WIPO:0010030/WIPO:0000099	/WIPO:Abiotic stress/Lodging score/LS_score	/FSOV Concept/plant property/growth/lodging resistance/susceptibility to lodging
ID:0000414	/WIPO:Physiological/WIPO:0010086/WIPO:0000209	/WIPO:Physiological/Stem water soluble carbohydrate/WSC	/FSOV Concept/plant property/growth/stem water-soluble carbohydrate
ID:0000423	/WIPO:Phenological/WIPO:0010013/WIPO:0000038	/WIPO:Phenological/Flowering date/D.Z65_jj/mm/aa	/FSOV Concept/plant property/development/flowering time/early flowering, /FSOV Concept/plant property/development/plant precocity/early flowering
ID:0000423	/WIPO:Phenological/WIPO:0010013/WIPO:0000039	/WIPO:Phenological/Flowering date/D.Z65_d	/FSOV Concept/plant property/development/flowering time/early flowering
ID:0000423	/WIPO:Phenological/WIPO:0010013/WIPO:0000040	/WIPO:Phenological/Flowering date/D.Z65_dd	/FSOV Concept/plant property/development/plant precocity/early flowering
ID:0000424	/WIPO:Phenological/WIPO:0010013/WIPO:0000038	/WIPO:Phenological/Flowering date/D.Z65_jj/mm/aa	/FSOV Concept/plant property/development/flowering time/late flowering
ID:0000424	/WIPO:Phenological/WIPO:0010013/WIPO:0000039	/WIPO:Phenological/Flowering date/D.Z65_d	/FSOV Concept/plant property/development/flowering time/late flowering
ID:0000424	/WIPO:Phenological/WIPO:0010013/WIPO:0000040	/WIPO:Phenological/Flowering date/D.Z65_dd	/FSOV Concept/plant property/development/flowering time/late flowering
ID:0000452	/WIPO:Morphological/WIPO:0010116/WIPO:0000060	/WIPO:Morphological/Green area estimated with the Satva method/GA_%	/FSOV Concept/plant property/growth/Green Area Index
ID:0000453	/WIPO:Morphological/WIPO:0010056/WIPO:0000146	/WIPO:Morphological/Mean grain length/GRAIN-LENGTH_mm	/FSOV Concept/plant property/morphology/grain morphology/grain size/grain length
ID:0000454	/WIPO:Morphological/WIPO:0010057/WIPO:0000147	/WIPO:Morphological/Mean grain width/GRAIN-WIDTH_mm	/FSOV Concept/plant property/morphology/grain morphology/grain size/grain width
ID:0030905	/WIPO:Biotic stress/WIPO:0010097/WIPO:0000107	/WIPO:Biotic stress/Fusarium score post fusarium inoculation/FUS-SCORE.350DD_score	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Fusarium head blight
ID:0030905	/WIPO:Biotic stress/WIPO:0010097/WIPO:0000108	/WIPO:Biotic stress/Fusarium score post fusarium inoculation/FUS-SCORE.450DD_score	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to Fusarium head blight
ID:0030907	/WIPO:Biotic stress/WIPO:0010055/WIPO:0000145	/WIPO:Biotic stress/Powdey mildew score/PM-SCORE_score	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to mildew/resistance to Powdery Mildew
ID:0031017	/WIPO:Biotic stress/WIPO:0010060/WIPO:0000152	/WIPO:Biotic stress/Brown rust score/BR-SCORE_1 to 9 score	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to rust/resistance to Leaf Rust
WTO id	WIPO Trait class/Trait name/Variable name	WIPO Trait class/Trait name/Variable synonyms	WTO class path
