7695	RG901
7696	RG463
7390	RZ476
7439	RZ574
7536	RZ682
7544	RZ508
7875	A2437
7876	ABC155
7877	ABC156
7879	ABC164
7880	ABC170
7882	ABC172
7883	ABC173
7884	ABC174
7885	ABC175
7886	ABC176
7887	ABC303
7888	ABC306
7889	ABC309
7890	ABC310
7891	ABC455
7892	ABG20
7893	ABG320
7894	ABG366
7895	ABG373
7896	ABG390
7897	ABG391
7898	ABG452
7899	ABG460
7900	ABG466
7901	ABG471
7902	ABG473
7903	ABG484
7904	ABG497
7905	ABG65
7906	ABG705
7907	ADH
7908	AFLPE1M2
7909	AFLPE1M8
7910	AFLPE36M49
7911	AFLPE37M61
7912	AFLPE38M61
7913	AFLPE3M2
7914	AFLPE3M3
7915	AFLPE3M6
7916	AFLPE3M8
7917	AFLPE40M49
7918	AFLPE40M50
7919	AFLPE41M60
7920	AFLPE41M62
7921	AFLPE4M3
7922	AFLPE8M3
7923	AGL1011
7924	AGL1036
7925	AGL1065
7926	AGL1092
7927	AGL1161
7928	AGL1162
7929	AGL1333
7930	AGL1363
7931	AGL1377
7932	AGL1463
7933	AGL1572
7934	AGL1574
7935	AGL1587
7936	AGL1642
7937	AGL1773
7938	AGL1779
7939	AGL1780
7940	AGL1810
7941	AGL1891
7942	AGL1916
7943	AGL1946
7944	AGL1947
7945	AGL1955
7946	AGL1981
7947	AGL1984
7948	AGL2131
7949	AGL2144
7950	AGL2146
7951	AGL2174
7952	AGL2192
7953	AGL2202
7954	AGL2206
7955	AGL2214
7956	AGL2226
7957	AGL2227
7958	AGL2242
7959	AGL2246
7960	AGL234
7961	AGL255
7962	AGL310
7963	AGL618
7964	AGL777
7965	AGL90
7966	AGL940
7967	AGL954
7968	AGL959
7969	AMP10
7970	AMP112
7971	AMP115
7972	AMP116
7973	AMP118
7974	AMP119
7975	AMP120
7976	AMP121
7977	AMP123
7978	AMP126
7979	AMP132
7980	AMP133
7981	AMP156
7982	AMP158
7983	AMP161
7984	AMP162
7985	AMP165
7986	AMP167
7987	AMP17
7988	AMP178
7989	AMP182
7990	AMP183
7991	AMP189
7992	AMP190
7993	AMP194
7994	AMP197
7995	AMP205
7996	AMP208
7997	AMP224
