21752	52-10	480	FRA051:1403	
21753	52-8-3	481	FRA051:1404	
21754	52-9	482	FRA051:1405	
27526	5417	36060	PI 243693	
27527	5476	36061	PI 243737	
27528	5501	36062	PI 243761	5501
60678	560697	33780	PI 560697	33780
22253	58C4	1716	FRA051:1834	
21769	60293	524	WW-313	524 60293
21765	6-1-3	514	WW-312	514 6-1-3
21772	62-3-8-9-1	533	FRA051:1421	
23915	6256	5724	PI 178383	6256
27390	6261	35924	PI 90279	6261
21773	62-7-4-7-10	534	FRA051:1422	
21774	62-7-6-1-9	535	FRA051:1423	
21775	62-7-6-8-3	536	FRA051:1424	
21778	63-1-7-5-7	540	FRA051:1425	
27549	635	36083	PI 265000	635
27373	64	35907	AUS 13030  AUS 7282  CI 7257  CItr 7257  PI 57654	64
21781	64-10-2-9-4	543	FRA051:1427	
27393	65BSR	35927	PI 94374	65BSR
21782	664-258-18	546	WW-314	546 664-258-18
21785	68-3-2	550	FRA051:1430	
25195	(68*VM6)43	8485	FRA051:1186	
21787	69-3	555	FRA051:1432	
21795	711-19-75	594	FRA051:1443	
25143	74RHD24	8378	FRA051:1444  RE5428  RE8428	
22239	75RHD3-A15	1692	BULK A15  FRA051:1445	
25024	76N556	8123	FRA051:1447	76N556
21797	771-1/LAA	617	FRA051:1449	
60695	7786	33821	CI 7786	33821
25294	78HDGC1-26	8769	FRA051:1450  RE8701  RE9701	
25262	78HDGCI26	8690	FRA051:1451	
48267	79TK098-511	39115	PI 470739  WW-268	
27517	8	36051	PI 221701	8
25258	80RHDoid3-40	8685	FRA051:1457	
25418	80RHDoid3-7	8947	FRA051:1458  LIGNEE 7  RE1806  RE8806	
21800	8-1	628	8-1 VERSAILLES  FRA051:1452	
21805	812-1-7-5	644	FRA051:1460	
25260	81DW18	8688	FRA051:1461	
60684	82697	33798	ICARDA-IG-82697  KEMAHI  PI 165107	33798
60685	82726	33799	ICARDA-ID-82726  PI 165207	33799
25277	82GC(MxP)22-13	8748	FRA051:1463	
25417	82R2TVBGC117	8946	FRA051:1464  RE1006  RE9006	
21801	8-3	629	8-3,FRA  8-3 VERSAILLES  FRA051:1453	
27431	8346	35965	PI 163030	8346
21806	838	649	FRA051:1466	838
25422	83RHD1-43	8951	FRA051:1467  RE1102  RE9102	
24840	83RHD1-43-3	7895	FRA051:1468	
21587	83RPVHD6-3-6	6	FRA051:1469	
21584	83RPVHD7-11-1	3	FRA051:1470	
21585	83RPVHD7-11-4	4	FRA051:1471	
21586	83RPVHD7-11-7	5	FRA051:1472	
25416	83RPVHD7-11-7-3-7	8945	FRA051:1473	
21807	841	650	FRA051:1475	
25140	84-20	8375	FRA051:1474	
25444	8435-68-18	8981	DI2105  FRA051:1476	
25443	8435-75-1	8980	DI2003  FRA051:1477	
27432	8445	35966	PI 163041	8445
60682	84866	33796	ICARDA-IG-84866  PI 182712	33796
25367	84IVS9/84FDS1	8879	FRA051:1478	
25366	84IVS9/84FDS2	8878	FRA051:1479	
25363	84IVS9/84IVS10-6-4-3-5	8875	FRA051:1480	
25364	84IVS9/84IVS10-7-3-5-2-4	8876	FRA051:1481	
25365	84IVS9/84IVS10-9-6-3-1-4	8877	FRA051:1482	
25670	84SFHD1-27	13729	FRA051:9004	
25445	8545-8-8	8982	DI2115  FRA051:1483	
48263	859	39111	CI 4573  PI 41025  RUFUM  WW-244	
25448	8622-8-5-4	8985	DI2209  FRA051:1485	
25449	8636-64-13	8986	DI2212  FRA051:1486	
25447	8638-87-13	8984	DI2208  FRA051:1487	
25669	86S11-12	13728	FRA051:9008	
21809	87-10-2-8-1-7-3	652	FRA051:1488	
21810	87-10-2-8-3-3-1	653	FRA051:1489	
21811	87-3-9-2-9-5-4	654	FRA051:1490	
27434	8795	35968	PI 164501	8795
48323	8812	39362	WW-260	
25268	891	8697	FRA051:1493	
48324	8943	39363	WW-261	
21820	90-2	723	90  90-2 VERSAILLES  FRA051:1505  GENITEUR 90	
27435	9126	35969	PI 164699	9126
21815	9-17	715	9-17 VERSAILLES  FRA051:1501	
25973	91RHSPV32-29	20657	FRA051:9017	
26058	92RHS11-72	22931	FRA051:9023	
60664	94635	33766	ICARDA-IG-45331  ICARDA-IG-88731  PI 94635	33766
60666	94648	33768	ICARDA-IG-45436  PI 94648	33768
21588	(95-13*BEZOSTAIA)3-3	7	FRA051:1187	7 (95-13*BEZOSTAIA)3-3
27118	9584.5.26	33945	FRA051:16	
60683	95920	33797	ICARDA-IG-95920	33797
26060	95RHS-DiaD4-259	22938	FRA051:9025	
16906	9612	34408	FRA051:510	
27436	9676	35970	PI 166130	9676
48265	97	39113	PI 276002  WW-265	
26086	9-78-74	23718	FRA051:8985	9-78-74
27458	9915	35992	AUS 8867  ICARDA-IG-84849  ICARDA-IG-87761  PI 182665	9915
21827	99-4-1	730	FRA051:1512	
21831	A.4	748	WW-315	748 A.4
21832	A.5	750	FRA051:1516	A.5
21833	A.8	752	FRA051:1517	A.8
21834	AA BLONDEAU	762	AA  A.A.  A.A. BLONDEAU  BLONDEAU  FRA051:1519	AA BLONDEAU
21835	AARON	763	FRA051:770	AARON
27116	ABAT206C	33943	FRA051:18	
27096	ABAT206H	33876	FRA051:19	
27117	ABAT228B	33944	FRA051:20	
25676	ABAT39B	13767	FRA051:21	
21837	ABED-87	767	K 56257	ABED-87
27597	ABED DANIA	36162	K 25127  PI 361714	ABED DANIA
21838	ABEL	768	ABEL LAFITE  FRA051:1520	ABEL
16633	ABELIA	10568	FRA051:4204	
48286	ABI	39259	1190789  TURKESTAN 3  WATKINS COLL NUMBER - 1190789  WW-511	
24834	ABLACA	7876	FRA051:1521	ABLACA
21840	ABO	772	A.B.O.  FRA051:1522	ABO
21841	ABONDANCE LEPEUPLE	773	ABONDANCE  ABUNDANCE  BLE D'ABONDANCE  BROAD LEAF CAPE  FRA051:1523	ABONDANCE LEPEUPLE
21842	ACADEMIE DE PEKIN	776	FRA051:1524	776 ACADEMIE DE PEKIN
